areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,20/10/2021,3000
K02000001,United Kingdom,overview,19/10/2021,2000
K02000001,United Kingdom,overview,18/10/2021,2000
K02000001,United Kingdom,overview,17/10/2021,959
K02000001,United Kingdom,overview,16/10/2021,867
K02000001,United Kingdom,overview,15/10/2021,934
K02000001,United Kingdom,overview,14/10/2021,897
K02000001,United Kingdom,overview,13/10/2021,906
K02000001,United Kingdom,overview,12/10/2021,921
K02000001,United Kingdom,overview,11/10/2021,831
K02000001,United Kingdom,overview,10/10/2021,720
K02000001,United Kingdom,overview,09/10/2021,758
K02000001,United Kingdom,overview,08/10/2021,781
K02000001,United Kingdom,overview,07/10/2021,806
K02000001,United Kingdom,overview,06/10/2021,774
K02000001,United Kingdom,overview,05/10/2021,831
K02000001,United Kingdom,overview,04/10/2021,800
K02000001,United Kingdom,overview,03/10/2021,716
K02000001,United Kingdom,overview,02/10/2021,693
K02000001,United Kingdom,overview,01/10/2021,687
K02000001,United Kingdom,overview,30/09/2021,693
K02000001,United Kingdom,overview,29/09/2021,800
K02000001,United Kingdom,overview,28/09/2021,770
K02000001,United Kingdom,overview,27/09/2021,778
K02000001,United Kingdom,overview,26/09/2021,666
K02000001,United Kingdom,overview,25/09/2021,668
K02000001,United Kingdom,overview,24/09/2021,724
K02000001,United Kingdom,overview,23/09/2021,772
K02000001,United Kingdom,overview,22/09/2021,754
K02000001,United Kingdom,overview,21/09/2021,800
K02000001,United Kingdom,overview,20/09/2021,809
K02000001,United Kingdom,overview,19/09/2021,728
K02000001,United Kingdom,overview,18/09/2021,759
K02000001,United Kingdom,overview,17/09/2021,752
K02000001,United Kingdom,overview,16/09/2021,889
K02000001,United Kingdom,overview,15/09/2021,947
K02000001,United Kingdom,overview,14/09/2021,945
K02000001,United Kingdom,overview,13/09/2021,936
K02000001,United Kingdom,overview,12/09/2021,862
K02000001,United Kingdom,overview,11/09/2021,851
K02000001,United Kingdom,overview,10/09/2021,921
K02000001,United Kingdom,overview,09/09/2021,1033
K02000001,United Kingdom,overview,08/09/2021,1162
K02000001,United Kingdom,overview,07/09/2021,1101
K02000001,United Kingdom,overview,06/09/2021,1077
K02000001,United Kingdom,overview,05/09/2021,879
K02000001,United Kingdom,overview,04/09/2021,950
K02000001,United Kingdom,overview,03/09/2021,927
K02000001,United Kingdom,overview,02/09/2021,1001
K02000001,United Kingdom,overview,01/09/2021,1077
K02000001,United Kingdom,overview,31/08/2021,997
K02000001,United Kingdom,overview,30/08/2021,997
K02000001,United Kingdom,overview,29/08/2021,852
K02000001,United Kingdom,overview,28/08/2021,860
K02000001,United Kingdom,overview,27/08/2021,939
K02000001,United Kingdom,overview,26/08/2021,952
K02000001,United Kingdom,overview,25/08/2021,1031
K02000001,United Kingdom,overview,24/08/2021,998
K02000001,United Kingdom,overview,23/08/2021,966
K02000001,United Kingdom,overview,22/08/2021,832
K02000001,United Kingdom,overview,21/08/2021,871
K02000001,United Kingdom,overview,20/08/2021,869
K02000001,United Kingdom,overview,19/08/2021,945
K02000001,United Kingdom,overview,18/08/2021,909
K02000001,United Kingdom,overview,17/08/2021,967
K02000001,United Kingdom,overview,16/08/2021,870
K02000001,United Kingdom,overview,15/08/2021,808
K02000001,United Kingdom,overview,14/08/2021,787
K02000001,United Kingdom,overview,13/08/2021,787
K02000001,United Kingdom,overview,12/08/2021,860
K02000001,United Kingdom,overview,11/08/2021,847
K02000001,United Kingdom,overview,10/08/2021,891
K02000001,United Kingdom,overview,09/08/2021,755
K02000001,United Kingdom,overview,08/08/2021,744
K02000001,United Kingdom,overview,07/08/2021,727
K02000001,United Kingdom,overview,06/08/2021,779
K02000001,United Kingdom,overview,05/08/2021,811
K02000001,United Kingdom,overview,04/08/2021,835
K02000001,United Kingdom,overview,03/08/2021,764
K02000001,United Kingdom,overview,02/08/2021,785
K02000001,United Kingdom,overview,01/08/2021,740
K02000001,United Kingdom,overview,31/07/2021,675
K02000001,United Kingdom,overview,30/07/2021,746
K02000001,United Kingdom,overview,29/07/2021,837
K02000001,United Kingdom,overview,28/07/2021,851
