"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Life expectancy at birth (years)","Published","2000","Africa","Botswana","Male","43.9","43.89779","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Botswana","Male","55.1","55.14339","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Botswana","Male","57.8","57.82610","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Botswana","Male","58.9","58.94968","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Botswana","Female","47.8","47.76789","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Botswana","Female","61.4","61.35551","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Botswana","Female","63.9","63.92690","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Botswana","Female","65.5","65.45545","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Botswana","Both sexes","45.6","45.58516","","",""
"Life expectancy at birth (years)","Published","2010","Africa","Botswana","Both sexes","58.1","58.13730","","",""
"Life expectancy at birth (years)","Published","2015","Africa","Botswana","Both sexes","60.9","60.92577","","",""
"Life expectancy at birth (years)","Published","2019","Africa","Botswana","Both sexes","62.2","62.24785","","",""
