,indicator_sh_urb,country,countryiso3code_sh_urb,date_sh_urb,value_sh_urb,decimal_sh_urb,indicator_tot_pop,countryiso3code_tot_pop,date_tot_pop,value_tot_pop,decimal_tot_pop,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,total_cases_ln,total_deaths_ln
52,Urban population (% of total population),United States,USA,2019,82.459,0,"Population, total",USA,2019,328329953.0,0,USA,North America,United States,2022-01-14,64917963.0,855903.0,786831.857,849241.0,2778.0,1753.286,194998.569,2570.935,2363.461,2550.924,8.344,5.266,1.39,332915074.0,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,78.86,0.926,17.988634923038912,13.65209828838057
41,Urban population (% of total population),Saudi Arabia,SAU,2019,84.065,0,"Population, total",SAU,2019,34268529.0,0,SAU,Asia,Saudi Arabia,2022-01-14,604672.0,5628.0,4635.286,8903.0,2.0,1.857,17109.801,159.25,131.16,251.919,0.057,0.053,2.11,35340680.0,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,75.13,0.854,13.31244144123687,9.094143577573671
17,Urban population (% of total population),Germany,DEU,2019,77.376,0,"Population, total",DEU,2019,83092962.0,0,DEU,Europe,Germany,2022-01-14,7943959.0,77175.0,63454.714,115576.0,233.0,238.714,94683.128,919.84,756.309,1377.537,2.777,2.845,1.36,83900471.0,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,81.33,0.947,15.887922323565931,11.657683601209218
4,Urban population (% of total population),Australia,AUS,2019,86.124,0,"Population, total",AUS,2019,25365745.0,0,AUS,Oceania,Australia,2022-01-14,1613249.0,86288.0,107528.429,2621.0,49.0,40.571,62557.601,3346.024,4169.673,101.636,1.9,1.573,1.82,25788217.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,83.44,0.944,14.293760715931166,7.8713112033234065
9,Urban population (% of total population),Canada,CAN,2019,81.482,0,"Population, total",CAN,2019,37593384.0,0,CAN,North America,Canada,2022-01-14,2735428.0,40306.0,36347.857,31400.0,141.0,95.571,71856.527,1058.792,954.816,824.842,3.704,2.511,1.36,38067913.0,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,82.43,0.929,14.8217984715401,10.354563171896345
51,Urban population (% of total population),United Kingdom,GBR,2019,83.652,0,"Population, total",GBR,2019,66836327.0,0,GBR,Europe,United Kingdom,2022-01-14,15102298.0,98949.0,125237.286,151734.0,270.0,267.714,221418.223,1450.714,1836.132,2224.607,3.959,3.925,0.88,68207114.0,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,81.32,0.932,16.53035747563659,11.929884266789607
24,Urban population (% of total population),Japan,JPN,2019,91.698,0,"Population, total",JPN,2019,126264931.0,0,JPN,Asia,Japan,2022-01-14,1830381.0,21880.0,11782.0,18423.0,11.0,3.857,14520.979,173.581,93.47,146.155,0.087,0.031,2.36,126050796.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,84.63,0.919,14.420034699868985,9.82135516299751
16,Urban population (% of total population),France,FRA,2019,80.709,0,"Population, total",FRA,2019,67248926.0,0,FRA,Europe,France,2022-01-14,13619391.0,329371.0,294478.857,126787.0,191.0,216.571,202002.18,4885.216,4367.697,1880.499,2.833,3.212,1.53,67422000.0,122.578,42.0,19.718,13.079,38605.671,86.06,4.77,82.66,0.901,16.427005144029568,11.750263792070047
26,Urban population (% of total population),"Korea, Rep.",KOR,2019,81.43,0,"Population, total",KOR,2019,51709098.0,0,KOR,Asia,South Korea,2022-01-14,687984.0,4418.0,3852.714,6281.0,22.0,42.143,13409.639,86.112,75.094,122.424,0.429,0.821,0.93,51305184.0,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,83.03,0.916,13.441520860831107,8.74528448245438
23,Urban population (% of total population),Italy,ITA,2019,70.736,0,"Population, total",ITA,2019,59729081.0,0,ITA,Europe,Italy,2022-01-14,8356514.0,200869.0,181821.714,140548.0,360.0,264.429,138427.432,3327.438,3011.915,2328.208,5.963,4.38,1.5,60367471.0,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,83.51,0.892,15.938551912452262,11.853304346421979
43,Urban population (% of total population),Spain,ESP,2019,80.565,0,"Population, total",ESP,2019,47133521.0,0,ESP,Europe,Spain,2022-01-14,8093036.0,162508.0,132590.0,90759.0,139.0,117.857,173130.805,3476.463,2836.44,1941.568,2.974,2.521,1.45,46745211.0,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,83.56,0.904,15.90651449675659,11.415962920763445
39,Urban population (% of total population),Poland,POL,2019,60.037,0,"Population, total",POL,2019,37965475.0,0,POL,Europe,Poland,2022-01-14,4281482.0,16049.0,12898.429,101841.0,422.0,344.714,113275.71,424.61,341.255,2694.42,11.165,9.12,1.01,37797000.0,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,78.73,0.88,15.269809769305482,11.531168052507509
28,Urban population (% of total population),Malaysia,MYS,2019,76.607,0,"Population, total",MYS,2019,31949789.0,0,MYS,Asia,Malaysia,2022-01-14,2802263.0,3346.0,3169.0,31762.0,12.0,16.857,85496.898,102.086,96.686,969.057,0.366,0.514,0.97,32776195.0,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,76.16,0.81,14.845937863001852,10.366025885670592
48,Urban population (% of total population),Turkey,TUR,2019,75.63,0,"Population, total",TUR,2019,83429607.0,0,TUR,Asia,Turkey,2022-01-14,10273170.0,75564.0,69132.286,84278.0,153.0,149.571,120800.088,888.541,812.912,991.008,1.799,1.759,1.35,85042736.0,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,77.69,0.82,16.14504620029471,11.341876137214152
40,Urban population (% of total population),Russian Federation,RUS,2019,74.587,0,"Population, total",RUS,2019,144406261.0,0,RUS,Europe,Russia,2022-01-14,10565484.0,23614.0,18287.571,313458.0,725.0,742.857,72409.962,161.837,125.333,2148.267,4.969,5.091,0.88,145912022.0,8.823,39.6,14.178,9.393,24765.954,431.297,6.18,72.58,0.824,16.173103019625188,12.655420658788291
21,Urban population (% of total population),"Iran, Islamic Rep.",IRN,2019,75.391,0,"Population, total",IRN,2019,82913893.0,0,IRN,Asia,Iran,2022-01-14,6217320.0,2539.0,1870.857,132026.0,24.0,29.286,73120.201,29.86,22.003,1552.722,0.282,0.344,1.08,85028760.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,76.68,0.783,15.6428495036978,11.790754151869494
3,Urban population (% of total population),Argentina,ARG,2019,91.991,0,"Population, total",ARG,2019,44938712.0,0,ARG,South America,Argentina,2022-01-14,6932972.0,139853.0,113876.571,117901.0,93.0,67.571,152019.447,3066.56,2496.974,2585.218,2.039,1.482,1.84,45605823.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,76.67,0.845,15.751799139260768,11.6776005682537
29,Urban population (% of total population),Mexico,MEX,2019,80.444,0,"Population, total",MEX,2019,127575529.0,0,MEX,North America,Mexico,2022-01-14,4257776.0,43523.0,28954.429,300912.0,148.0,134.571,32686.193,334.118,222.278,2310.048,1.136,1.033,1.96,130262220.0,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,75.05,0.779,15.264257516194093,12.61457314218186
54,Urban population (% of total population),"Venezuela, RB",VEN,2019,88.24,0,"Population, total",VEN,2019,28515829.0,0,VEN,South America,Venezuela,2022-01-14,452430.0,2700.0,914.857,5376.0,6.0,4.429,15761.395,94.06,31.871,187.285,0.209,0.154,1.06,28704947.0,36.253,29.0,6.614,3.915,16745.022,204.85,6.47,72.06,0.711,13.02238833402284,8.589699882202986
47,Urban population (% of total population),Thailand,THA,2019,50.692,0,"Population, total",THA,2019,69625581.0,0,THA,Asia,Thailand,2022-01-14,2308615.0,8158.0,7977.0,21898.0,15.0,14.143,33003.39,116.625,114.037,313.048,0.214,0.202,1.56,69950844.0,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,77.15,0.777,14.65215833558618,9.99415058743337
22,Urban population (% of total population),Iraq,IRQ,2019,70.678,0,"Population, total",IRQ,2019,39309789.0,0,IRQ,Asia,Iraq,2022-01-14,2108206.0,3266.0,1673.714,24237.0,8.0,5.571,51195.707,79.312,40.645,588.572,0.194,0.135,2.38,41179351.0,88.125,20.0,3.186,1.957,15663.986,218.612,8.83,70.6,0.674,14.561347906828964,10.095635670147818
