metro_id,metropolitan areas,year,gdp_of_the_metropolitan_area_as_a_share_of_the_national_gdp,growth/shrinking_index_of_the_total_population_(2001=100),population_density_(inhabitants_per_km2),population_of_the_metropolitan_area_as_a_share_of_the_national_population,"population,_all_ages,_administrative_data",working_age_population_group_(15-64)
AT001,Vienna,2000,37.1,,,,,
AT001,Vienna,2001,37.0,,,,,
AT001,Vienna,2002,37.2,,262.0,31.2,2518900.0,1740398.0
AT001,Vienna,2003,36.9,,265.0,31.4,2545953.0,1764575.0
AT001,Vienna,2004,36.8,,267.0,31.6,2571147.0,1773529.0
AT001,Vienna,2005,36.5,,271.0,31.7,2603478.0,1786580.0
AT001,Vienna,2006,36.5,,274.0,31.9,2633622.0,1801054.0
AT001,Vienna,2007,36.2,,276.0,32.0,2651048.0,1809776.0
AT001,Vienna,2008,36.3,,278.0,32.1,2669653.0,1819600.0
AT001,Vienna,2009,36.7,,279.0,32.2,2687263.0,1827423.0
AT001,Vienna,2010,36.6,,281.0,32.4,2702410.0,1840149.0
AT001,Vienna,2011,36.2,,283.0,32.5,2720884.0,1854053.0
AT001,Vienna,2012,35.9,,285.0,32.6,2741423.0,1860064.0
AT001,Vienna,2013,35.8,,288.0,32.8,2771168.0,1877372.0
AT001,Vienna,2014,35.6,,292.0,33.0,2804165.0,1898912.0
AT001,Vienna,2015,35.6,,296.0,33.1,2844897.0,1927016.0
AT001,Vienna,2016,35.9,,302.0,33.4,2901726.0,1969188.0
AT001,Vienna,2017,35.5,,306.0,33.5,2939030.0,1993946.0
AT001,Vienna,2018,35.4,,308.0,33.6,2967197.0,2010695.0
AT001,Vienna,2019,,,310.0,33.7,2983513.0,2018818.0
AT001,Vienna,2020,,,312.0,33.8,3004660.0,2029453.0
AT001,Vienna,2021,,,314.0,,3022500.0,2038680.0
AT002,Graz,2000,7.2,,,,,
AT002,Graz,2001,7.2,,,,,
AT002,Graz,2002,7.2,,184.0,7.0,568224.0,391949.0
AT002,Graz,2003,7.3,,185.0,7.1,572564.0,396138.0
AT002,Graz,2004,7.4,,186.0,7.1,576920.0,397960.0
AT002,Graz,2005,7.4,,188.0,7.1,583010.0,400638.0
AT002,Graz,2006,7.3,,190.0,7.1,588413.0,403569.0
AT002,Graz,2007,7.3,,192.0,7.2,592661.0,406663.0
AT002,Graz,2008,7.3,,193.0,7.2,596744.0,409596.0
AT002,Graz,2009,7.3,,194.0,7.2,600619.0,411996.0
AT002,Graz,2010,7.3,,195.0,7.2,604354.0,416012.0
AT002,Graz,2011,7.3,,197.0,7.3,608948.0,419421.0
AT002,Graz,2012,7.4,,198.0,7.3,613579.0,422118.0
AT002,Graz,2013,7.4,,200.0,7.3,618467.0,424925.0
AT002,Graz,2014,7.4,,202.0,7.3,624540.0,428645.0
AT002,Graz,2015,7.4,,204.0,7.4,631194.0,432837.0
AT002,Graz,2016,7.5,,207.0,7.4,640574.0,438764.0
AT002,Graz,2017,7.5,,209.0,7.4,647531.0,442657.0
AT002,Graz,2018,7.4,,211.0,7.4,652485.0,444635.0
AT002,Graz,2019,,,212.0,7.4,657316.0,446451.0
AT002,Graz,2020,,,214.0,7.4,662531.0,448294.0
AT002,Graz,2021,,,215.0,,665390.0,448208.0
AT003,Linz,2000,7.8,,,,,
AT003,Linz,2001,7.8,,,,,
AT003,Linz,2002,7.7,,167.0,7.3,591621.0,403723.0
AT003,Linz,2003,7.8,,167.0,7.3,594743.0,406750.0
AT003,Linz,2004,7.8,,168.0,7.3,597624.0,407723.0
AT003,Linz,2005,7.8,,169.0,7.3,601456.0,408722.0
AT003,Linz,2006,7.8,,170.0,7.3,604788.0,410585.0
AT003,Linz,2007,7.7,,171.0,7.3,607231.0,412249.0
AT003,Linz,2008,8.0,,171.0,7.3,608882.0,413740.0
AT003,Linz,2009,7.9,,172.0,7.3,610593.0,415109.0
AT003,Linz,2010,7.9,,172.0,7.3,611788.0,417106.0
AT003,Linz,2011,7.9,,172.0,7.3,612547.0,417171.0
AT003,Linz,2012,7.8,,173.0,7.3,615347.0,418078.0
AT003,Linz,2013,7.9,,174.0,7.3,618431.0,419247.0
AT003,Linz,2014,7.9,,175.0,7.3,622945.0,421287.0
AT003,Linz,2015,7.9,,177.0,7.3,629153.0,424725.0
AT003,Linz,2016,7.8,,180.0,7.3,637739.0,430044.0
AT003,Linz,2017,7.8,,181.0,7.3,643455.0,432291.0
AT003,Linz,2018,7.9,,182.0,7.3,647800.0,433419.0
AT003,Linz,2019,,,184.0,7.4,651950.0,434876.0
AT003,Linz,2020,,,184.0,7.4,655268.0,435236.0
